"Month Day, Year"	"Month Day, Year Code"	"Avg Daily Max Air Temperature (F)"	"Avg Daily Min Air Temperature (F)"
	"Jan 01, 2010"	"2010/01/01"	38.100	26.300
	"Jan 02, 2010"	"2010/01/02"	26.400	18.300
	"Jan 03, 2010"	"2010/01/03"	24.300	15.200
	"Jan 04, 2010"	"2010/01/04"	28.000	20.400
	"Jan 05, 2010"	"2010/01/05"	31.700	22.900
	"Jan 06, 2010"	"2010/01/06"	35.100	27.000
	"Jan 07, 2010"	"2010/01/07"	35.600	27.200
	"Jan 08, 2010"	"2010/01/08"	30.400	24.000
	"Jan 09, 2010"	"2010/01/09"	31.000	21.000
	"Jan 10, 2010"	"2010/01/10"	28.100	16.200
	"Jan 11, 2010"	"2010/01/11"	32.000	17.300
	"Jan 12, 2010"	"2010/01/12"	30.900	26.400
	"Jan 13, 2010"	"2010/01/13"	34.300	22.600
	"Jan 14, 2010"	"2010/01/14"	39.900	25.000
	"Jan 15, 2010"	"2010/01/15"	44.100	27.800
	"Jan 16, 2010"	"2010/01/16"	48.000	32.000
	"Jan 17, 2010"	"2010/01/17"	42.100	34.400
	"Jan 18, 2010"	"2010/01/18"	53.100	37.600
	"Jan 19, 2010"	"2010/01/19"	51.700	34.400
	"Jan 20, 2010"	"2010/01/20"	43.400	31.300
	"Jan 21, 2010"	"2010/01/21"	40.300	29.200
	"Jan 22, 2010"	"2010/01/22"	40.100	31.500
	"Jan 23, 2010"	"2010/01/23"	42.500	30.200
	"Jan 24, 2010"	"2010/01/24"	48.000	30.800
	"Jan 25, 2010"	"2010/01/25"	60.400	46.800
	"Jan 26, 2010"	"2010/01/26"	46.800	32.300
	"Jan 27, 2010"	"2010/01/27"	40.900	30.600
	"Jan 28, 2010"	"2010/01/28"	45.800	25.600
	"Jan 29, 2010"	"2010/01/29"	27.200	19.800
	"Jan 30, 2010"	"2010/01/30"	21.500	16.700
	"Jan 31, 2010"	"2010/01/31"	28.900	9.400
	"Feb 01, 2010"	"2010/02/01"	33.500	15.700
	"Feb 02, 2010"	"2010/02/02"	34.900	24.600
	"Feb 03, 2010"	"2010/02/03"	37.400	29.000
	"Feb 04, 2010"	"2010/02/04"	37.500	30.200
	"Feb 05, 2010"	"2010/02/05"	35.800	29.300
	"Feb 06, 2010"	"2010/02/06"	31.100	15.800
	"Feb 07, 2010"	"2010/02/07"	29.400	6.300
