"","busy_routes","p_vals"
"1","31003-31003",3.48200763715394e-26
"2","31007-31009",0.00371393654288885
"3","31007-31010",0.0345963387304097
"4","31007-31011",2.02859933462065e-08
"5","31007-31013",0.000230147127291997
"6","31009-31007",0.00164940283025635
"7","31101-31200",0.00113011799329295
"8","31101-31201",0.00164940283025635
"9","31101-31203",0.000230147127291997
"10","31101-31213",0.0264972753484334
"11","31101-31214",8.23877447175514e-05
"12","31103-31106",0.0430992853208374
"13","31104-31104",0.038331805292815
"14","31104-31105",0.000280599563616548
"15","31104-31106",0.00201482218990159
"16","31104-31200",0.000271764641895694
"17","31104-31205",7.54762765593438e-06
"18","31104-31214",0.00581815472629736
"19","31105-31101",1.67395790298551e-09
"20","31106-31101",0.00201482218990159
"21","31106-31104",0.00500465064491035
"22","31108-31108",0.000868063668066658
"23","31108-31218",3.00993655418129e-05
"24","31110-31200",0.00363083254415746
"25","31110-31201",0.00044997589263634
"26","31110-31205",0.0357993563476965
"27","31110-31214",2.83070212103644e-06
"28","31111-31201",0.00153771520092676
"29","31200-31101",6.60836046745805e-06
"30","31200-31110",0.0254956200987792
"31","31200-31111",0.00753523815440091
"32","31201-31111",0.00274712993589659
"33","31201-31200",0.000230147127291997
"34","31201-31212",0.0348398378843654
"35","31202-31101",0.000150377450380328
"36","31203-31205",2.58107062841848e-06
"37","31203-31228",4.8535807427357e-05
"38","31204-31204",0.00631560224784725
"39","31205-31205",1.21359759896408e-05
"40","31205-31229",0.0348398378843654
"41","31206-31100",3.00993655418129e-05
"42","31212-31200",0.000150377450380328
"43","31212-31201",0.0452385487751316
"44","31213-31201",0.0478120499209229
"45","31213-31214",0.033620320015332
"46","31214-31101",0.0203104621800475
"47","31214-31201",0.0464971999214894
"48","31214-31214",0.0324691024545107
"49","31214-31221",0.000913338207747392
"50","31215-31215",0.0337982523002851
"51","31217-31217",0.000230147127291997
"52","31219-31219",1.43434294303174e-05
"53","31228-31203",0
"54","31235-31235",0.0357993563476965
"55","31303-31301",0.00724655695489314
"56","31303-31302",0.000573081868032239
"57","31602-31104",1.41480706770777e-08
"58","31602-31400",0.00060021768380764
"59","31602-31401",0.000594743359223147
"60","31613-31606",1.29900021541692e-07
"61","31613-31619",0.0264972753484334
"62","31613-31622",0.000150519973881853
"63","31619-31613",5.63276158787025e-08
"64","31619-31623",1.18180712681258e-07
"65","31620-31600",2.98965935601134e-07
"66","31623-31622",5.47041289223018e-06
