"","noncoverage_rates_2010.route","p_vals"
"1","31104-31104",0.000305072086696969
"2","31104-31103",0
"3","31201-31212",0
"4","31203-31228",0
"5","31111-31201",0
"6","31602-31104",0.00021118764405444
"7","31201-31111",0.0066605062157505
"8","31110-31214",4.36108682456236e-07
"9","31619-31623",0
"10","31203-31200",0.000164650619378298
"11","31104-31105",0
"12","31101-31200",0.0401783976365083
"13","31613-31606",0
"14","31203-31101",0.000715190572566454
"15","31202-31214",0.00879775194452964
"16","31107-31602",8.08064763521556e-10
"17","31101-31214",8.27435998082805e-08
"18","31105-31101",0.000383413572312588
"19","31110-31200",0
"20","31105-31203",0.0124128706018803
"21","31108-31218",0.0138419347931087
"22","31200-31229",0.000613517744697808
"23","31105-31104",0
"24","31200-31203",0.0402340540584781
"25","31110-31205",0
"26","31205-31200",0.0343457386891509
"27","31214-31200",0
"28","31619-31613",0
"29","31229-31201",0.00985183006100927
"30","31303-31302",0
"31","31106-31104",0.000988676278864516
"32","31229-31111",0
"33","31011-31007",0.000324991683659175
"34","31400-31602",0.0291184735591125
"35","31200-31201",0.0321351310097504
"36","31007-31009",0.0013872526079042
"37","31229-31200",6.90870165465032e-06
"38","31201-31110",3.2190250342787e-07
"39","31103-31200",0.0223563237586302
"40","31103-31106",0.00515874542162653
"41","31104-31110",5.81967367569732e-06
"42","31201-31101",0.00394142071358288
"43","31205-31214",0
"44","31401-31602",0.0187469941640905
"45","31200-31101",0
"46","31218-31108",0
"47","31111-31200",0
"48","31107-31200",0
"49","31101-31105",0.0187469941640905
"50","31214-31205",0
"51","31100-31206",0
"52","31104-31602",0
"53","31200-31107",0
"54","31213-31101",0.00825577749681956
"55","31101-31213",0
"56","31622-31623",8.82181108582027e-10
"57","31101-31216",0.00436250870647886
"58","31105-31200",0.030055204954944
"59","31007-31011",5.90945494927632e-08
"60","31214-31213",3.24151228249847e-08
"61","31104-31107",1.52540557245836e-08
"62","31007-31010",0.000998712738389715
"63","31013-31007",0
"64","31623-31619",0
